Tabelle: 61111-0002
Verbraucherpreisindex: Deutschland, Monate;;;;
Verbraucherpreisindex für Deutschland;;;;;;;
Deutschland;;;;;;;
;;Verbraucherpreisindex;;Veränderung zum Vorjahresmonat;;Veränderung zum Vormonat;
;;2020=100;2020=100;in (%);in (%);in (%);in (%)
2006;Januar;82,0;e;1,7;e;-0,4;e
;Februar;82,4;e;1,9;e;0,5;e
;März;82,4;e;1,4;e;-;
;April;82,7;e;2,1;e;0,4;e
;Mai;82,7;e;1,8;e;-;
;Juni;82,9;e;2,0;e;0,2;e
;Juli;83,2;e;1,8;e;0,4;e
;August;83,0;e;1,5;e;-0,2;e
;September;82,7;e;1,0;e;-0,4;e
;Oktober;82,8;e;1,1;e;0,1;e
;November;82,8;e;1,3;e;-;
;Dezember;83,5;e;1,5;e;0,8;e
2007;Januar;83,5;e;1,8;e;-;
;Februar;83,8;e;1,7;e;0,4;e
;März;84,0;e;1,9;e;0,2;e
;April;84,4;e;2,1;e;0,5;e
;Mai;84,4;e;2,1;e;-;
;Juni;84,5;e;1,9;e;0,1;e
;Juli;84,9;e;2,0;e;0,5;e
;August;84,8;e;2,2;e;-0,1;e
;September;84,9;e;2,7;e;0,1;e
;Oktober;85,1;e;2,8;e;0,2;e
;November;85,6;e;3,4;e;0,6;e
;Dezember;86,1;e;3,1;e;0,6;e
2008;Januar;85,8;e;2,8;e;-0,3;e
;Februar;86,2;e;2,9;e;0,5;e
;März;86,6;e;3,1;e;0,5;e
;April;86,4;e;2,4;e;-0,2;e
;Mai;86,9;e;3,0;e;0,6;e
;Juni;87,2;e;3,2;e;0,3;e
;Juli;87,7;e;3,3;e;0,6;e
;August;87,4;e;3,1;e;-0,3;e
;September;87,4;e;2,9;e;-;
;Oktober;87,2;e;2,5;e;-0,2;e
;November;86,8;e;1,4;e;-0,5;e
;Dezember;87,0;e;1,0;e;0,2;e
2009;Januar;86,6;e;0,9;e;-0,5;e
;Februar;87,1;e;1,0;e;0,6;e
;März;87,0;e;0,5;e;-0,1;e
;April;87,0;e;0,7;e;-;
;Mai;87,0;e;0,1;e;-;
;Juni;87,3;e;0,1;e;0,3;e
;Juli;87,3;e;-0,5;e;-;
;August;87,5;e;0,1;e;0,2;e
;September;87,1;e;-0,3;e;-0,5;e
;Oktober;87,2;e;-;;0,1;e
;November;87,1;e;0,3;e;-0,1;e
;Dezember;87,8;e;0,9;e;0,8;e
2010;Januar;87,3;e;0,8;e;-0,6;e
;Februar;87,6;e;0,6;e;0,3;e
;März;88,1;e;1,3;e;0,6;e
;April;88,1;e;1,3;e;-;
;Mai;88,1;e;1,3;e;-;
;Juni;88,1;e;0,9;e;-;
;Juli;88,2;e;1,0;e;0,1;e
;August;88,3;e;0,9;e;0,1;e
;September;88,2;e;1,3;e;-0,1;e
;Oktober;88,3;e;1,3;e;0,1;e
;November;88,4;e;1,5;e;0,1;e
;Dezember;89,0;e;1,4;e;0,7;e
2011;Januar;88,7;e;1,6;e;-0,3;e
;Februar;89,3;e;1,9;e;0,7;e
;März;89,8;e;1,9;e;0,6;e
;April;89,8;e;1,9;e;-;
;Mai;89,8;e;1,9;e;-;
;Juni;89,9;e;2,0;e;0,1;e
;Juli;90,1;e;2,2;e;0,2;e
;August;90,2;e;2,2;e;0,1;e
;September;90,3;e;2,4;e;0,1;e
;Oktober;90,4;e;2,4;e;0,1;e
;November;90,5;e;2,4;e;0,1;e
;Dezember;90,7;e;1,9;e;0,2;e
2012;Januar;90,6;e;2,1;e;-0,1;e
;Februar;91,2;e;2,1;e;0,7;e
;März;91,7;e;2,1;e;0,5;e
;April;91,6;e;2,0;e;-0,1;e
;Mai;91,5;e;1,9;e;-0,1;e
;Juni;91,4;e;1,7;e;-0,1;e
;Juli;91,7;e;1,8;e;0,3;e
;August;92,1;e;2,1;e;0,4;e
;September;92,2;e;2,1;e;0,1;e
;Oktober;92,2;e;2,0;e;-;
;November;92,2;e;1,9;e;-;
;Dezember;92,5;e;2,0;e;0,3;e
2013;Januar;92,1;e;1,7;e;-0,4;e
;Februar;92,6;e;1,5;e;0,5;e
;März;93,0;e;1,4;e;0,4;e
;April;92,6;e;1,1;e;-0,4;e
;Mai;93,0;e;1,6;e;0,4;e
;Juni;93,1;e;1,9;e;0,1;e
;Juli;93,5;e;2,0;e;0,4;e
;August;93,5;e;1,5;e;-;
;September;93,5;e;1,4;e;-;
;Oktober;93,3;e;1,2;e;-0,2;e
;November;93,5;e;1,4;e;0,2;e
;Dezember;93,9;e;1,5;e;0,4;e
2014;Januar;93,3;e;1,3;e;-0,6;e
;Februar;93,8;e;1,3;e;0,5;e
;März;94,0;e;1,1;e;0,2;e
;April;93,9;e;1,4;e;-0,1;e
;Mai;93,8;e;0,9;e;-0,1;e
;Juni;94,0;e;1,0;e;0,2;e
;Juli;94,3;e;0,9;e;0,3;e
;August;94,3;e;0,9;e;-;
;September;94,3;e;0,9;e;-;
;Oktober;94,1;e;0,9;e;-0,2;e
;November;94,1;e;0,6;e;-;
;Dezember;94,0;e;0,1;e;-0,1;e
2015;Januar;93,1;e;-0,2;e;-1,0;e
;Februar;93,8;e;-;;0,8;e
;März;94,3;e;0,3;e;0,5;e
;April;94,7;e;0,9;e;0,4;e
;Mai;94,9;e;1,2;e;0,2;e
;Juni;94,9;e;1,0;e;-;
;Juli;95,1;e;0,8;e;0,2;e
;August;95,0;e;0,7;e;-0,1;e
;September;94,9;e;0,6;e;-0,1;e
;Oktober;94,9;e;0,9;e;-;
;November;94,3;e;0,2;e;-0,6;e
;Dezember;94,3;e;0,3;e;-;
2016;Januar;93,6;e;0,5;e;-0,7;e
;Februar;93,9;e;0,1;e;0,3;e
;März;94,5;e;0,2;e;0,6;e
;April;94,6;e;-0,1;e;0,1;e
;Mai;95,1;e;0,2;e;0,5;e
;Juni;95,2;e;0,3;e;0,1;e
;Juli;95,5;e;0,4;e;0,3;e
