,Goldpreis,Goldpreis_gestern
2025-06-18,3390.73,3387.43
2025-06-17,3387.43,3402.93
2025-06-16,3402.93,3444.2
2025-06-15,3444.2,3433.47
2025-06-13,3433.47,3395.97
2025-06-12,3395.97,3365.52
2025-06-11,3365.52,3328.0
2025-06-10,3328.0,3326.86
2025-06-09,3326.86,3318.1
2025-06-08,3318.1,3309.96
2025-06-06,3309.96,3361.97
2025-06-05,3361.97,3378.21
2025-06-04,3378.21,3360.03
2025-06-03,3360.03,3387.48
2025-06-02,3387.48,3310.31
2025-06-01,3310.31,3289.67
2025-05-30,3289.67,3315.6
2025-05-29,3315.6,3259.96
2025-05-28,3259.96,3309.5
2025-05-27,3309.5,3346.21
2025-05-26,3346.21,3342.73
2025-05-25,3342.73,3356.44
2025-05-23,3356.44,3300.12
2025-05-22,3300.12,3320.12
2025-05-21,3320.12,3290.75
2025-05-20,3290.75,3222.64
2025-05-19,3222.64,3234.91
2025-05-18,3234.91,3202.31
2025-05-16,3202.31,3237.25
2025-05-15,3237.25,3186.08
2025-05-14,3186.08,3254.46
2025-05-13,3254.46,3236.87
2025-05-12,3236.87,3287.68
2025-05-11,3287.68,3326.97
2025-05-09,3326.97,3316.47
2025-05-08,3316.47,3376.52
2025-05-07,3376.52,3400.86
2025-05-06,3400.86,3334.17
2025-05-05,3334.17,3248.0
2025-05-04,3248.0,3241.06
2025-05-02,3241.06,3237.4
2025-05-01,3237.4,3272.92
2025-04-30,3272.92,3317.09
2025-04-29,3317.09,3337.74
2025-04-28,3337.74,3302.74
2025-04-27,3302.74,3319.26
2025-04-25,3319.26,3349.03
2025-04-24,3349.03,3316.4
2025-04-23,3316.4,3336.68
2025-04-22,3336.68,3434.67
2025-04-21,3434.67,3348.2
2025-04-20,3348.2,3327.62
2025-04-17,3327.62,3350.21
2025-04-16,3350.21,3251.87
2025-04-15,3251.87,3212.68
2025-04-14,3212.68,3223.9
2025-04-13,3223.9,3237.71
2025-04-11,3237.71,3189.06
2025-04-10,3189.06,3086.91
2025-04-09,3086.91,2978.37
2025-04-08,2978.37,2981.35
2025-04-07,2981.35,3000.13
2025-04-06,3000.13,3038.86
2025-04-04,3038.86,3112.97
2025-04-03,3112.97,3162.74
2025-04-02,3162.74,3115.3
2025-04-01,3115.3,3120.69
2025-03-31,3120.69,3089.25
2025-03-30,3089.25,3085.37
2025-03-28,3085.37,3055.79
2025-03-27,3055.79,3021.78
2025-03-26,3021.78,3021.09
2025-03-25,3021.09,3009.95
2025-03-24,3009.95,3024.8
2025-03-23,3024.8,3023.53
2025-03-21,3023.53,3046.45
2025-03-20,3046.45,3050.18
2025-03-19,3050.18,3031.9
2025-03-18,3031.9,2999.93
2025-03-17,2999.93,2990.12
2025-03-16,2990.12,2986.14
2025-03-14,2986.14,2986.59
2025-03-13,2986.59,2938.18
2025-03-12,2938.18,2915.59
2025-03-11,2915.59,2884.77
2025-03-10,2884.77,2916.36
2025-03-09,2916.36,2911.24
2025-03-07,2911.24,2910.4
2025-03-06,2910.4,2918.32
2025-03-05,2918.32,2914.49
2025-03-04,2914.49,2891.03
2025-03-03,2891.03,2870.86
2025-03-02,2870.86,2858.28
2025-02-28,2858.28,2876.06
2025-02-27,2876.06,2919.3
2025-02-26,2919.3,2918.71
2025-02-25,2918.71,2950.08
2025-02-24,2950.08,2937.01
2025-02-23,2937.01,2936.51
2025-02-21,2936.51,2941.68
2025-02-20,2941.68,2935.52
2025-02-19,2935.52,2934.03
2025-02-18,2934.03,2899.34
2025-02-17,2899.34,2879.44
2025-02-16,2879.44,2882.82
2025-02-14,2882.82,2931.25
2025-02-13,2931.25,2906.14
2025-02-12,2906.14,2898.63
2025-02-11,2898.63,2917.86
2025-02-10,2917.86,2867.69
2025-02-09,2867.69,2861.03
2025-02-07,2861.03,2858.13
2025-02-06,2858.13,2869.28
2025-02-05,2869.28,2841.27
2025-02-04,2841.27,2813.9
2025-02-03,2813.9,2793.81
2025-02-02,2793.81,2799.37
2025-01-31,2799.37,2796.28
2025-01-30,2796.28,2760.37
2025-01-29,2760.37,2762.84
2025-01-28,2762.84,2741.86
2025-01-27,2741.86,2767.67
2025-01-26,2767.67,2771.33
2025-01-24,2771.33,2754.6
2025-01-23,2754.6,2755.59
2025-01-22,2755.59,2744.39
2025-01-21,2744.39,2710.47
2025-01-20,2710.47,2696.56
2025-01-19,2696.56,2702.8
2025-01-17,2702.8,2714.63
2025-01-16,2714.63,2694.99
2025-01-15,2694.99,2675.63
2025-01-14,2675.63,2668.06
2025-01-13,2668.06,2691.17
2025-01-12,2691.17,2689.71
2025-01-10,2689.71,2670.05
2025-01-09,2670.05,2662.7
2025-01-08,2662.7,2649.89
2025-01-07,2649.89,2634.69
2025-01-06,2634.69,2641.1
2025-01-05,2641.1,2640.51
2025-01-03,2640.51,2658.48
2025-01-02,2658.48,2623.86
2025-01-01,2623.86,2624.33
2024-12-31,2624.33,2606.76
