,0
0,1731.76
1,1748.475
2,1733.24
3,1744.995
4,1739.45
5,1727.11
6,1734.66
7,1727.395
8,1733.81
9,1712.05
10,1685.6
11,1707.59
12,1727.965
13,1729.515
14,1743.34
15,1736.905
16,1754.25
17,1744.375
18,1732.05
19,1746.705
20,1736.715
21,1763.96
22,1776.065
23,1772.255
24,1776.915
25,1793.66
26,1783.24
27,1778.36
28,1780.13
29,1775.56
30,1783.96
31,1773.345
32,1768.41
33,1792.595
34,1778.805
35,1785.48
36,1814.755
37,1830.035
38,1836.295
39,1835.705
40,1817.615
41,1825.15
42,1844.825
43,1869.095
44,1870.215
45,1866.045
46,1874.08
47,1876.115
48,1877.5
49,1898.245
50,1896.125
51,1898.075
52,1903.905
53,1898.905
54,1907.9
55,1870.98
56,1892.815
57,1898.78
58,1893.445
59,1888.825
60,1898.37
61,1877.97
62,1866.885
63,1857.995
64,1819.08
65,1776.94
66,1764.47
67,1783.55
68,1777.62
69,1777.46
70,1775.48
71,1781.68
72,1778.32
73,1761.595
74,1768.335
75,1775.58
76,1787.59
77,1795.755
78,1803.455
79,1803.855
80,1808.56
81,1807.165
82,1809.135
83,1826.415
84,1829.475
85,1812.19
86,1811.565
87,1809.81
88,1802.67
89,1807.21
90,1802.785
91,1797.82
92,1799.94
93,1809.375
94,1830.34
95,1814.06
96,1812.575
97,1811.27
98,1811.76
99,1803.59
100,1764.275
101,1731.43
102,1730.225
103,1752.485
104,1753.435
105,1779.34
106,1787.5
107,1786.31
108,1787.485
109,1779.07
110,1781.43
111,1804.885
112,1801.91
113,1791.685
114,1793.555
115,1816.97
116,1810.51
117,1814.605
118,1813.145
119,1809.55
120,1827.75
121,1795.695
122,1790.85
123,1794.89
124,1788.01
125,1793.085
126,1803.8
127,1795.255
128,1753.965
129,1754.87
130,1765.15
131,1774.895
132,1766.925
133,1746.3
134,1750.765
135,1751.25
136,1735.365
137,1728.905
138,1753.09
139,1760.55
140,1768.29
141,1759.53
142,1764.075
143,1755.095
144,1757.365
145,1753.265
146,1760.345
147,1791.765
148,1795.45
149,1767.48
150,1764.065
151,1768.715
152,1781.515
153,1784.655
154,1793.215
155,1807.96
156,1793.665
157,1796.67
158,1799.655
159,1783.435
160,1792.16
161,1787.22
162,1777.25
163,1791.575
164,1818.185
165,1824.57
166,1824.38
167,1848.415
168,1862.405
169,1864.3
170,1862.465
171,1850.395
172,1866.61
173,1859.71
174,1846.44
175,1809.075
176,1790.97
177,1789.68
178,1790.995
179,1786.9
180,1773.435
181,1781.915
182,1768.935
183,1782.385
184,1781.03
185,1784.805
186,1783.64
187,1776.49
188,1782.855
189,1785.795
190,1772.56
191,1779.645
192,1798.83
193,1798.075
194,1791.71
195,1790.595
196,1803.74
197,1808.415
198,1812.38
199,1806.66
200,1804.595
201,1815.895
202,1829.335
203,1804.3
204,1813.985
205,1810.315
206,1791.48
207,1797.175
208,1801.285
209,1820.805
210,1825.35
211,1820.895
212,1817.745
213,1814.35
214,1838.655
215,1839.025
216,1834.76
217,1843.565
218,1849.635
219,1822.035
220,1797.39
221,1791.77
222,1797.78
223,1800.78
224,1807.845
225,1805.785
226,1807.695
227,1822.06
228,1825.95
229,1832.615
230,1826.975
231,1859.36
232,1871.09
233,1853.045
234,1869.99
235,1900.09
236,1898.16
237,1898.255
238,1910.81
239,1906.805
240,1889.35
241,1906.295
242,1942.39
243,1928.87
244,1934.96
245,1970.285
246,1998.88
247,2043.915
248,1990.015
249,1995.56
250,1988.64
251,1952.25
252,1918.175
253,1927.165
254,1944.155
255,1920.58
256,1935.715
257,1919.735
258,1946.165
259,1959.395
260,1958.315
261,1924.085
262,1916.47
263,1934.175
264,1936.815
265,1924.645
266,1931.68
267,1920.54
268,1923.83
269,1932.995
270,1948.045
271,1952.81
272,1965.99
273,1977.175
274,1972.15
275,1977.23
276,1949.865
277,1956.9
278,1950.975
279,1931.92
280,1899.36
281,1906.595
282,1885.8
283,1895.665
284,1896.895
285,1863.18
286,1868.48
287,1894.085
288,1874.46
289,1883.78
290,1854.545
291,1833.78
292,1854.205
293,1821.52
294,1811.61
295,1826.42
296,1814.595
297,1816.18
298,1842.065
299,1846.58
300,1853.89
301,1867.525
302,1854.21
303,1852.915
304,1853.13
305,1836.53
306,1846.05
307,1869.945
308,1851.21
309,1839.415
310,1853.825
311,1852.895
312,1847.08
313,1871.745
314,1820.975
315,1811.07
316,1833.86
317,1850.965
318,1840.315
319,1831.55
320,1836.57
321,1824.62
322,1827.155
323,1823.76
324,1818.415
325,1818.895
326,1806.545
327,1809.455
328,1769.655
329,1740.06
330,1741.92
331,1742.43
332,1733.36
333,1725.39
334,1732.015
335,1711.74
336,1707.6
337,1708.26
338,1710.07
339,1695.525
340,1718.145
341,1727.59
342,1719.18
343,1718.105
344,1738.89
345,1755.07
346,1766.42
347,1772.355
348,1756.675
349,1763.61
350,1793.405
351,1775.77
352,1789.245
353,1794.165
354,1791.735
355,1789.12
356,1802.18
357,1778.63
358,1775.665
359,1765.04
360,1758.545
361,1747.605
362,1735.32
363,1746.115
364,1751.08
365,1756.49
366,1738.145
367,1739.63
368,1723.405
369,1709.065
370,1697.475
371,1712.63
372,1703.58
373,1716.655
374,1710.965
375,1717.305
376,1725.35
377,1702.23
378,1697.575
379,1662.375
380,1675.345
381,1675.86
382,1666.485
383,1667.14
384,1672.82
385,1644.05
386,1627.73
387,1628.945
388,1656.16
389,1664.685
390,1661.36
391,1701.11
392,1725.64
393,1718.47
394,1711.94
395,1695.42
396,1670.2
397,1664.18
398,1674.545
399,1663.49
400,1644.385
401,1650.77
402,1652.42
403,1628.99
404,1658.04
405,1651.86
406,1652.855
407,1667.605
408,1661.99
409,1644.695
410,1632.575
411,1646.885
412,1633.77
413,1629.845
414,1680.935
415,1674.175
416,1711.68
417,1706.53
418,1752.3
419,1771.205
420,1769.59
421,1780.82
422,1773.945
423,1760.19
424,1751.17
425,1738.635
426,1741.22
427,1752.345
428,1754.79
429,1741.31
430,1749.015
431,1773.42
432,1802.325
433,1798.065
434,1769.67
435,1770.99
436,1786.97
437,1789.275
438,1797.625
439,1782.045
440,1809.735
441,1807.715
442,1776.565
443,1793.01
444,1787.325
445,1817.25
446,1814.97
447,1793.51
448,1798.595
449,1812.475
450,1805.875
451,1815.16
452,1823.54
453,1836.655
454,1854.935
455,1832.965
456,1866.22
457,1870.57
458,1877.2
459,1876.985
460,1898.115
461,1920.56
462,1908.7
463,1906.86
464,1931.8
465,1925.98
466,1931.39
467,1937.045
468,1948.7
469,1930.795
470,1928.41
471,1922.06
472,1927.615
473,1953.215
474,1915.07
475,1865.825
476,1868.55
477,1873.02
478,1875.045
479,1862.41
480,1865.44
481,1854.43
482,1854.975
483,1836.465
484,1834.42
485,1842.7
486,1835.62
487,1825.2
488,1823.275
489,1810.86
490,1817.23
491,1825.675
492,1836.675
493,1837.915
494,1855.375
495,1846.44
496,1814.01
497,1815.29
498,1831.645
499,1867.19
500,1912.125
501,1903.165
502,1921.25
503,1921.41
504,1988.24
505,1976.705
506,1943.215
507,1969.745
508,1991.405
509,1978.915
510,1958.18
511,1972.005
512,1963.295
513,1978.55
514,1969.5
515,1985.015
516,2021.81
517,2020.325
518,2007.445
519,1992.485
520,2004.795
521,2018.25
522,2039.78
523,2004.38
524,1993.99
525,2005.84
526,1993.74
527,2005.34
528,1983.04
529,1995.095
530,2000.28
531,1991.76
532,1986.99
533,1989.53
534,1981.475
535,2016.0
536,2052.03
537,2050.01
538,2016.79
539,2021.385
540,2036.38
541,2031.51
542,2016.45
543,2011.04
544,2014.49
545,1989.76
546,1982.84
547,1958.49
548,1977.75
549,1969.89
550,1975.12
551,1959.85
552,1940.58
553,1946.84
554,1958.62
555,1966.39
556,1977.13
557,1948.05
558,1961.32
559,1963.43
560,1944.53
561,1965.41
562,1960.75
563,1960.06
564,1944.0
565,1945.31
566,1958.32
567,1957.59
568,1937.36
569,1933.94
570,1914.56
571,1921.24
572,1922.58
573,1915.56
574,1909.79
575,1908.8
576,1919.44
577,1921.28
578,1916.88
579,1911.66
580,1925.5
581,1924.92
582,1933.38
583,1957.81
584,1960.2
585,1955.33
586,1955.49
587,1977.58
588,1977.81
589,1972.32
590,1961.97
591,1954.51
592,1965.38
593,1972.09
594,1947.54
595,1959.25
596,1964.02
597,1952.23
598,1936.11
599,1935.84
600,1942.58
601,1936.83
602,1925.67
603,1916.79
604,1912.47
605,1913.91
606,1907.68
607,1901.52
608,1893.4
609,1891.35
610,1889.57
611,1894.82
612,1898.57
613,1917.91
614,1915.88
615,1914.59
616,1921.13
617,1936.43
618,1944.27
619,1939.8
620,1939.76
621,1926.67
622,1917.18
623,1920.38
624,1919.06
625,1921.72
626,1912.96
627,1909.3
628,1909.91
629,1923.96
630,1934.16
631,1931.42
632,1929.52
633,1921.47
634,1925.35
635,1916.33
636,1901.66
637,1877.63
638,1866.79
639,1848.92
640,1825.05
641,1823.42
642,1822.6
643,1821.38
644,1831.99
645,1862.63
646,1859.75
647,1875.38
648,1870.65
649,1932.3
650,1919.47
651,1924.78
652,1950.89
653,1977.29
654,1980.9
655,1973.66
656,1972.95
657,1983.05
658,1984.49
659,2006.11
660,1995.63
661,1983.77
662,1985.16
663,1985.06
664,1992.71
665,1976.84
666,1969.04
667,1950.91
668,1959.19
669,1938.38
670,1946.56
671,1962.54
672,1960.42
673,1982.69
674,1980.66
675,1981.34
676,1999.42
677,1990.58
678,2002.61
679,2015.36
680,2044.51
681,2044.72
682,2040.19
683,2071.83
684,2034.06
685,2019.02
686,2027.17
687,2028.17
688,2004.49
689,1983.04
690,1982.6
691,2032.93
692,2035.64
693,2019.6
694,2027.72
695,2041.0
696,2032.24
697,2052.88
698,2053.15
699,2066.28
700,2079.58
701,2066.89
702,2062.96
703,2059.64
704,2043.07
705,2044.34
706,2045.53
707,2030.77
708,2030.89
709,2026.82
710,2035.41
711,2048.99
712,2028.21
713,2009.63
714,2023.9
715,2029.6
716,2020.8
717,2029.42
718,2016.41
719,2020.75
720,2018.51
721,2031.16
722,2036.53
723,2039.99
724,2054.89
725,2039.67
726,2025.15
727,2035.31
728,2036.6
729,2034.35
730,2024.35
731,2018.94
732,1991.56
733,1993.83
734,2003.51
735,2013.35
736,2024.24
737,2025.85
738,2024.86
739,2035.6
740,2031.31
741,2030.2
742,2034.75
743,2044.32
744,2083.1
745,2114.66
746,2128.13
747,2147.38
748,2161.99
749,2179.06
750,2183.69
751,2156.98
752,2175.59
753,2161.72
754,2156.19
755,2162.21
756,2157.15
757,2204.06
758,2181.82
759,2165.36
760,2173.01
761,2179.58
762,2190.79
763,2233.04
764,2249.11
765,2280.01
766,2297.57
767,2288.82
768,2329.59
769,2338.86
770,2355.03
771,2335.62
772,2376.95
773,2344.31
774,2382.06
775,2382.74
776,2367.9
777,2379.94
778,2391.36
779,2333.87
780,2323.38
781,2316.3
782,2330.71
783,2337.81
784,2333.26
785,2291.39
786,2323.94
787,2304.29
788,2301.8
789,2326.06
790,2315.22
791,2308.86
792,2346.66
793,2360.42
794,2338.43
795,2355.87
796,2391.89
797,2377.9
798,2413.96
799,2426.27
800,2421.82
801,2382.25
802,2332.08
803,2333.83
804,2359.88
805,2338.46
806,2344.11
807,2327.26
808,2350.69
809,2328.89
810,2355.1
811,2376.87
812,2293.99
813,2309.98
814,2315.17
815,2320.69
816,2302.47
817,2333.07
818,2320.78
819,2328.35
820,2360.95
821,2321.73
822,2330.91
823,2320.06
824,2298.51
825,2327.87
826,2326.72
827,2332.38
828,2330.3
829,2358.84
830,2392.01
831,2361.76
832,2365.07
833,2372.95
834,2415.95
835,2411.69
836,2422.68
837,2468.33
838,2461.36
839,2441.31
840,2400.95
841,2395.86
842,2408.64
843,2398.71
844,2363.91
845,2387.19
846,2381.25
847,2409.92
848,2445.84
849,2445.91
850,2442.03
851,2404.85
852,2383.94
853,2384.91
854,2424.63
855,2430.93
856,2475.67
857,2464.21
858,2449.51
859,2457.42
860,2508.11
861,2503.71
862,2513.03
863,2512.86
864,2487.66
865,2512.58
866,2515.57
867,2525.4
868,2508.2
869,2519.67
870,2503.12
871,2493.38
872,2495.94
873,2517.32
874,2497.53
875,2506.86
876,2518.8
877,2511.99
878,2558.59
879,2579.08
880,2583.74
881,2574.18
882,2559.36
883,2587.3
884,2622.23
885,2626.4
886,2658.27
887,2656.38
888,2672.72
889,2658.18
890,2635.73
891,2660.43
892,2660.38
893,2655.91
894,2653.63
895,2643.06
896,2622.01
897,2608.47
898,2633.25
899,2656.97
900,2649.49
901,2660.55
902,2674.2
903,2693.82
904,2721.86
905,2721.53
906,2746.62
907,2721.37
908,2733.89
909,2747.38
910,2744.54
911,2775.09
912,2785.48
913,2746.75
914,2736.75
915,2736.09
916,2745.74
917,2664.12
918,2706.98
919,2684.77
920,2624.08
921,2599.03
922,2570.97
923,2566.95
924,2563.19
925,2612.73
926,2635.21
927,2652.26
928,2669.24
929,2715.67
930,2610.49
931,2632.36
932,2637.13
933,2650.5
934,2642.3
935,2642.85
936,2650.43
937,2633.86
938,2633.13
939,2660.6
940,2696.11
941,2720.09
942,2680.8
943,2648.44
944,2651.82
945,2647.54
946,2588.17
947,2593.63
948,2622.82
949,2615.65
950,2616.86
951,2632.68
952,2621.74
953,2606.76
954,2624.33
955,2658.48
956,2640.51
957,2634.69
958,2649.89
959,2662.7
960,2689.71
961,2668.06
962,2675.63
963,2694.99
964,2714.63
965,2702.8
966,2744.39
967,2755.59
968,2754.6
969,2771.33
970,2741.86
971,2762.84
972,2760.37
973,2796.28
974,2799.37
975,2813.9
976,2841.27
977,2869.28
978,2858.13
979,2861.03
980,2917.86
981,2898.63
982,2906.14
983,2931.25
984,2882.82
985,2934.03
986,2935.52
987,2941.68
988,2936.51
989,2950.08
990,2918.71
991,2919.3
992,2876.06
993,2858.28
994,2891.03
995,2914.49
996,2918.32
997,2910.4
998,2911.24
999,2884.77
1000,2915.59
1001,2938.18
1002,2986.59
1003,2986.14
1004,2999.93
1005,3031.9
1006,3050.18
1007,3046.45
1008,3023.53
1009,3009.95
1010,3021.09
1011,3021.78
1012,3055.79
1013,3085.37
1014,3120.69
