,1. open,2. high,3. low,4. close,5. volume
2025-05-12,3287.67,3290.03,3258.98,3280.21,0.0
2025-05-11,3321.38,3322.21,3266.06,3287.68,0.0
2025-05-09,3316.46,3347.58,3274.9,3326.97,0.0
2025-05-08,3376.58,3414.84,3288.88,3316.47,0.0
2025-05-07,3400.87,3401.51,3360.26,3376.52,0.0
2025-05-06,3334.2,3436.07,3323.36,3400.86,0.0
2025-05-05,3248.12,3337.99,3241.37,3334.17,0.0
2025-05-04,3239.43,3252.31,3237.89,3248.0,0.0
2025-05-02,3237.5,3269.34,3222.86,3241.06,0.0
2025-05-01,3272.93,3276.39,3202.06,3237.4,0.0
2025-04-30,3317.2,3328.04,3267.09,3272.92,0.0
2025-04-29,3337.75,3340.15,3299.78,3317.09,0.0
2025-04-28,3302.77,3353.12,3268.2,3337.74,0.0
2025-04-27,3330.71,3331.15,3298.78,3302.74,0.0
2025-04-25,3349.0,3363.23,3265.27,3319.26,0.0
2025-04-24,3316.42,3370.78,3306.86,3349.03,0.0
2025-04-23,3336.66,3386.64,3260.2,3316.4,0.0
2025-04-22,3434.63,3500.08,3315.98,3336.68,0.0
2025-04-21,3348.21,3444.3,3347.58,3434.67,0.0
2025-04-20,3346.11,3351.77,3340.99,3348.2,0.0
2025-04-17,3350.17,3356.34,3283.95,3327.62,0.0
2025-04-16,3251.84,3357.82,3251.71,3350.21,0.0
2025-04-15,3212.67,3251.87,3210.13,3251.87,0.0
2025-04-14,3223.87,3245.75,3193.76,3212.68,0.0
2025-04-13,3229.95,3229.95,3210.07,3223.9,0.0
2025-04-11,3189.1,3245.47,3184.96,3237.71,0.0
2025-04-10,3086.9,3191.39,3078.56,3189.06,0.0
2025-04-09,2978.53,3099.71,2972.58,3086.91,0.0
2025-04-08,2981.42,3022.76,2970.1,2978.37,0.0
2025-04-07,3000.14,3056.25,2956.54,2981.35,0.0
2025-04-06,3035.07,3035.07,2977.23,3000.13,0.0
2025-04-04,3112.98,3136.72,3015.74,3038.86,0.0
2025-04-03,3162.6,3164.89,3054.16,3112.97,0.0
2025-04-02,3115.31,3167.87,3104.85,3162.74,0.0
2025-04-01,3120.67,3149.09,3100.93,3115.3,0.0
2025-03-31,3089.24,3128.05,3076.99,3120.69,0.0
2025-03-30,3086.19,3097.87,3086.09,3089.25,0.0
2025-03-28,3055.62,3086.9,3055.12,3085.37,0.0
2025-03-27,3021.73,3059.77,3021.67,3055.79,0.0
2025-03-26,3021.1,3032.11,3012.45,3021.78,0.0
2025-03-25,3010.04,3036.05,3007.66,3021.09,0.0
2025-03-24,3024.71,3033.31,3002.54,3009.95,0.0
2025-03-23,3021.57,3026.39,3019.82,3024.8,0.0
2025-03-21,3046.54,3047.5,2999.59,3023.53,0.0
2025-03-20,3050.22,3057.48,3025.72,3046.45,0.0
2025-03-19,3031.91,3052.02,3022.93,3050.18,0.0
